source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S016,"E-Fulfillment","company_page","E-Fulfillment","Фулфилмент для маркетплейсов","https://e-fulfillment.ru/","","2026-09-18","primary","owned","active","FBO/FBS, полный фулфилмент"
S017,"E-Fulfillment","contact_page","E-Fulfillment","Контакты","https://e-fulfillment.ru/contacts","","2026-09-18","primary","owned","active","Площадка в Быково, Московская область"
S018,"Easyful","price_page","Easyful","Услуги фулфилмента","https://easyful.ru/uslugi","","2026-09-18","primary","owned","active","ВПП от 5 руб., термоусадка от 10 руб., маркировка"
S019,"Easyful","company_page","Easyful","Фулфилмент для маркетплейсов","https://easyful.ru/","","2026-09-18","primary","owned","active","Автоматизированный процесс, интеграции, Москва"
S020,"Нитропак","service_page","Нитропак","Упаковка товара для маркетплейсов","https://nitropack.ru/services/packaging","","2026-09-18","primary","owned","active","ВПП, термоусадка, FBO, открытые цены"
S021,"Нитропак","article","Нитропак","Упаковка товара для маркетплейса: требования и цены","https://nitropack.ru/blog/marketplace-packaging-guide","2026-08-19","2026-09-18","primary","owned","active","Прайс и процесс переупаковки"
S022,"Контракт Фактори","service_page","Контракт Фактори","Фулфилмент для маркетплейсов бытовой химии","https://contract-factory.ru/services/fullfilment/","","2026-09-18","primary","owned","active","Собственное термоусадочное оборудование, ВПП для жидких средств"
S023,"FULLKOT","price_pdf","FULLKOT","Прайс фулфилмента","https://fullkot.ru/wp-content/uploads/2025/08/price-fullkot-5.pdf","2025-08","2026-09-18","primary","owned","active","Работа и материал ВПП/термоусадка, приемка и контроль"
S024,"Repacking24","company_page","Repacking24","Фулфилмент для маркетплейсов в Москве","https://repacking24.ru/","","2026-09-18","primary","owned","active","ВПП, термоусадка, публичные цены, доставка"
S025,"U2Pack","service_page","U2Pack","Упаковка товара и копакинг","https://u2pack.ru/upakovka-tovara/","","2026-09-18","primary","owned","active","Термоусадка, промышленное оборудование, подготовка товаров"
S026,"U2Pack","contact_page","U2Pack","Контакты московского копакинг-центра","https://u2pack.ru/contact/","","2026-09-18","primary","owned","active","Москва, упаковка и отгрузка на WB/Ozon"
S027,"Inpacks","service_page","Inpacks","Упаковка товаров для маркетплейсов","https://inpacks.ru/upakovka-tovarov","","2026-09-18","primary","owned","active","Термоусадочная и пузырчатая пленка, маркировка"
S028,"Inpacks","price_page","Inpacks","Прайс-лист на фулфилмент","https://inpacks.ru/price-fulfilment","","2026-09-18","primary","owned","active","Цена ВПП и сопутствующих операций"
S029,"Fulfillment Moscow","company_page","Fulfillment Moscow","Фулфилмент Wildberries и Ozon в Москве","https://fulfillmentmoscow.ru/","","2026-09-18","primary","owned","active","Обе пленки, приемка, маркировка, комплектация"
S030,"Кактус","service_page","Кактус","Фулфилмент для маркетплейсов","https://kak2c.ru/fulfillment/","","2026-09-18","primary","owned","active","18 площадок, личный кабинет, крупная инфраструктура"
S031,"Преп-Центр","prior_publication","Sostav","ТОП-10 компаний для упаковки в термоусадку и ВПП","https://www.sostav.ru/blogs/292167/103444","2026-08-24","2026-09-18","secondary","independent_platform","active","Использован для provenance и market recall, не как самостоятельный scoring factor"
S032,"E-Fulfillment","directory_profile","2ГИС","E-Fulfillment","https://2gis.ru/moscow/firm/70000001058880668","","2026-09-18","secondary","independent_platform","active","Внешнее подтверждение действующего московского профиля"
